Factor,Period,Observations,MeanRankIC,RankICStd,ICIR,PositiveICRate
momentum_20_5,full,2295,-0.009531335826415346,0.19631328530007758,-0.04855165972005451,0.4915032679738562
momentum_20_5,in_sample,952,-0.00648612916150825,0.1801796615879298,-0.03599812045569273,0.49264705882352944
momentum_20_5,out_of_sample,1343,-0.011689963335716577,0.2070285562171549,-0.056465463264182864,0.49069247952345496
momentum_60_5,full,2255,-0.013435115165841062,0.22186874137457638,-0.06055433984347906,0.4891352549889135
momentum_60_5,in_sample,912,0.004790547101720738,0.20349111080342613,0.0235418003410893,0.5328947368421053
momentum_60_5,out_of_sample,1343,-0.0258117376438875,0.2327873050756523,-0.11088120821493716,0.4594192107222636
reversal_5,full,2310,0.011553568885533064,0.18201305939494186,0.0634765929650328,0.5069264069264069
reversal_5,in_sample,967,0.020311635425313716,0.1730151039263639,0.11739804771009155,0.5253360910031024
reversal_5,out_of_sample,1343,0.0052475001260632965,0.18803686396447528,0.027906762617859213,0.4936708860759494
volatility_20,full,2300,0.007839562460173869,0.24454034581653267,0.032058360079590016,0.5130434782608696
volatility_20,in_sample,957,-0.011295269733112635,0.2328545927504754,-0.0485078245599241,0.48693834900731453
volatility_20,out_of_sample,1343,0.02147473327847259,0.2517369531934178,0.08530624132076804,0.5316455696202531
downside_volatility_20,full,2300,-0.0007178447692866657,0.23860234965509047,-0.003008540235770267,0.5117391304347826
downside_volatility_20,in_sample,957,-0.016370418906287525,0.2315897592326739,-0.07068714506430517,0.4827586206896552
downside_volatility_20,out_of_sample,1343,0.010435925483215067,0.24294682614895274,0.0429555950519671,0.5323901712583767
drawdown_60,full,2276,-0.006842054847890646,0.21591714637767392,-0.031688334913072574,0.5118629173989455
drawdown_60,in_sample,933,-0.0008051241737147367,0.2052662972266816,-0.003922339831685152,0.5316184351554126
drawdown_60,out_of_sample,1343,-0.011035991049682248,0.22299652576960521,-0.049489520124113395,0.498138495904691
